"","Epitope","value"
"1","CD2",1
"2","CD3",1
"3","CD4",1.5
"4","CD5",1
"5","CD7",1
"6","CD8a",1
"7","CD10",1.5
"8","CD103",1.5
"9","CD11b",1.5
"10","CD11c",2
"11","CD127",1.5
"12","CD134",1.75
"13","CD137",1.5
"14","CD150",2
"15","CD152",1.5
"16","CD16",1.5
"17","CD161",1.5
"18","CD183",1.5
"19","CD184",1.5
"20","CD185",1
"21","CD19",2
"22","CD194",1.5
"23","CD195",1.25
"24","CD197",1.5
"25","CD20",1.5
"26","CD21",2
"27","CD22",1
"28","CD223",1.5
"29","CD23",1.5
"30","CD24",1.5
"31","CD244",1.5
"32","CD25",1.5
"33","CD27",1.25
"34","CD273",2
"35","CD274",1.75
"36","CD279",1.5
"37","CD278",2
"38","CD28",1.5
"39","CD29",2
"40","CD31",1.5
"41","CD32",2
"42","CD357",2
"43","CD366",1.5
"44","CD38",1.5
"45","CD39",1.25
"46","CD43",1.5
"47","CD44",1.5
"48","CD45",0.5
"49","CD45RA",0.9
"50","CD45RO",1
"51","CD47",1
"52","CD48",1.5
"53","CD56",1.5
"54","CD57",1.5
"55","CD62L",1.25
"56","CD69",1
"57","CD70",1.5
"58","CD73",1.5
"59","CD79b",1.5
"60","CD86",1.25
"61","CD95",1.25
"62","KLRG1",1.5
"63","Lambda",1.5
"64","Kappa",2
"65","TIGIT",1
"66","mouseIgG1",10
"67","mouseIgG2a",1.5
"68","mouseIgG2b",1.5
"69","hamsterIgG",1.25
"70","ratIgG2b",1
